Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
4s_0.8,Random Forest,Baseline (none),0.6954,0.04306,16.15027,0.66683,0.08611,7.74384,0.7523,0.03511,21.42824,0.74245,0.03423,21.69166,0.75042,0.03885,19.31785
3s_0.5,Random Forest,Baseline (none),0.69503,0.04496,15.46045,0.672,0.08917,7.53627,0.75793,0.02683,28.24748,0.74612,0.02865,26.03875,0.75611,0.03083,24.52183
5s_no,XGBoost,SMOTE,0.69428,0.05458,12.72045,0.70514,0.0915,7.70655,0.74282,0.03996,18.58733,0.7359,0.04245,17.33535,0.74282,0.04193,17.71664
1s_0.5,XGBoost,SMOTETomek,0.69328,0.06418,10.8017,0.68547,0.11239,6.0989,0.76206,0.02662,28.62716,0.74667,0.03272,22.82213,0.76042,0.02956,25.72335
4s_0.5,XGBoost,SMOTETomek,0.69322,0.08213,8.44054,0.71589,0.14875,4.81255,0.74456,0.04226,17.61824,0.73585,0.0516,14.25999,0.74347,0.04683,15.87556
4s_no,XGBoost,TomekLinks,0.69301,0.1291,5.36797,0.70493,0.17487,4.0312,0.75571,0.06747,11.20079,0.74328,0.08409,8.83886,0.75264,0.0757,9.94176
1s_no,Random Forest,SMOTE,0.69128,0.07949,8.69651,0.66968,0.13886,4.82276,0.76905,0.03345,22.98865,0.74992,0.04204,17.83772,0.76533,0.03684,20.77713
1s_no,XGBoost,SMOTE,0.69112,0.06518,10.60347,0.69292,0.08081,8.57512,0.75557,0.02949,25.62082,0.74333,0.03893,19.09641,0.75605,0.02964,25.51146
1s_0.5,XGBoost,SMOTE,0.69077,0.07158,9.64992,0.67671,0.10092,6.70507,0.76179,0.0341,22.33797,0.74673,0.04235,17.63211,0.76057,0.03655,20.80953
5s_no,XGBoost,SMOTETomek,0.69046,0.09339,7.39331,0.70482,0.1593,4.42458,0.74386,0.06499,11.44534,0.73552,0.07057,10.42283,0.74212,0.06928,10.71227
2s_0.8,XGBoost,SMOTE,0.6897,0.08026,8.59372,0.69507,0.11731,5.92514,0.75311,0.04781,15.75312,0.7395,0.05249,14.08773,0.75406,0.05034,14.97911
4s_0.8,Random Forest,SMOTE,0.6891,0.04728,14.57545,0.65712,0.07633,8.6091,0.74692,0.04639,16.09994,0.7367,0.04386,16.79746,0.74512,0.04822,15.45254
5s_no,Random Forest,SMOTE,0.68907,0.06808,10.12194,0.70932,0.1292,5.48991,0.73715,0.05407,13.63246,0.72908,0.05631,12.94801,0.73478,0.05788,12.69543
1s_no,Random Forest,TomekLinks,0.68822,0.06845,10.055,0.6522,0.11853,5.5023,0.76877,0.03772,20.38258,0.74956,0.04074,18.39666,0.76466,0.04087,18.70933
4s_0.5,XGBoost,TomekLinks,0.688,0.08504,8.09039,0.70542,0.14676,4.80661,0.74171,0.04649,15.95334,0.73238,0.05498,13.31965,0.74061,0.05138,14.41414
2s_0.5,Random Forest,TomekLinks,0.68681,0.07048,9.74418,0.654,0.11702,5.5886,0.7638,0.04417,17.29421,0.74722,0.04842,15.43089,0.76052,0.04816,15.79249
2s_no,XGBoost,Baseline (none),0.68551,0.10172,6.73951,0.66545,0.142,4.68638,0.75948,0.06724,11.29429,0.7446,0.07487,9.94469,0.75632,0.07251,10.43121
2s_0.5,Random Forest,SMOTETomek,0.68478,0.0624,10.97402,0.64905,0.0872,7.44326,0.76069,0.04227,17.99702,0.74471,0.04486,16.60162,0.75816,0.04479,16.92686
3s_0.8,Random Forest,SMOTETomek,0.68441,0.04894,13.98452,0.64067,0.07908,8.10191,0.75343,0.04734,15.91605,0.73988,0.04438,16.67204,0.75034,0.04968,15.10258
1s_0.8,XGBoost,SMOTE,0.68286,0.08929,7.64765,0.66312,0.12251,5.41266,0.75954,0.03453,21.9944,0.74175,0.04874,15.21722,0.75725,0.03734,20.27854
2s_no,Random Forest,SMOTE,0.6826,0.10585,6.44857,0.68497,0.18234,3.75659,0.75888,0.0416,18.24374,0.74161,0.06091,12.1764,0.7531,0.05584,13.48598
4s_no,XGBoost,SMOTETomek,0.68132,0.1495,4.55749,0.70222,0.21093,3.3292,0.74856,0.07495,9.98699,0.73452,0.09586,7.66244,0.74398,0.08618,8.63271
5s_no,Random Forest,Baseline (none),0.68094,0.06986,9.74692,0.66457,0.1135,5.85539,0.74252,0.05662,13.1149,0.73221,0.05839,12.53969,0.74012,0.05745,12.88196
2s_no,XGBoost,SMOTE,0.6805,0.0914,7.44541,0.68038,0.14091,4.82863,0.75002,0.05354,14.00749,0.73659,0.06242,11.80052,0.74806,0.05895,12.68965
1s_no,XGBoost,SMOTETomek,0.67989,0.07748,8.77479,0.67221,0.09449,7.11391,0.75171,0.03078,24.42403,0.73689,0.04399,16.75163,0.75132,0.03177,23.64927
1s_0.8,XGBoost,Baseline (none),0.67956,0.08664,7.84372,0.65112,0.10677,6.09841,0.75788,0.04387,17.27667,0.74071,0.05413,13.68482,0.75569,0.04595,16.44461
2s_no,Random Forest,SMOTETomek,0.67928,0.12142,5.59447,0.67939,0.20254,3.35434,0.76019,0.0522,14.5623,0.74145,0.07306,10.14827,0.75319,0.06712,11.22103
3s_0.8,Random Forest,TomekLinks,0.6773,0.06852,9.88483,0.63642,0.11741,5.4206,0.75037,0.05516,13.60407,0.73562,0.05512,13.34635,0.74609,0.05961,12.51701
5s_0.8,Random Forest,Baseline (none),0.67676,0.0588,11.50867,0.64223,0.1072,5.99115,0.73692,0.05224,14.10509,0.72674,0.05167,14.06412,0.73407,0.05722,12.82792
4s_no,Random Forest,TomekLinks,0.67671,0.13032,5.19254,0.67471,0.17153,3.93342,0.74435,0.07724,9.63732,0.73172,0.0907,8.06761,0.7413,0.08333,8.89578
4s_0.5,Random Forest,SMOTETomek,0.67552,0.09635,7.01133,0.68056,0.17882,3.8058,0.7436,0.03024,24.59001,0.72829,0.04925,14.78658,0.73782,0.0437,16.88362
4s_0.5,XGBoost,SMOTE,0.67464,0.08038,8.39357,0.68889,0.15177,4.53912,0.73172,0.04227,17.31273,0.72191,0.05119,14.10293,0.72989,0.04931,14.80207
