Dataset,Model,Imbalance Technique,F1-Score (avg),F1-Score (std),F1-Score (avg:std),Recall (avg),Recall (std),Recall (avg:std),Accuracy (avg),Accuracy (std),Accuracy (avg:std),Macro F1 (avg),Macro F1 (std),Macro F1 (avg:std),Weighted F1 (avg),Weighted F1 (std),Weighted F1 (avg:std)
3s_0.8,Random Forest,SMOTE,0.69408,0.12749,5.44428,0.65288,0.19061,3.42512,0.77268,0.08286,9.32553,0.75074,0.08871,8.46297,0.7654,0.08756,8.74102
3s_0.8,XGBoost,SMOTE,0.69375,0.12489,5.55474,0.6854,0.17804,3.84973,0.76008,0.07435,10.22313,0.74337,0.08378,8.87262,0.75649,0.07915,9.55807
2s_0.8,XGBoost,SMOTETomek,0.69372,0.1151,6.02723,0.68673,0.15538,4.41952,0.75596,0.07163,10.55389,0.74092,0.08013,9.24617,0.75325,0.07404,10.17336
4s_no,Random Forest,SMOTETomek,0.69215,0.15883,4.35783,0.73234,0.19218,3.81067,0.74556,0.12328,6.04752,0.73305,0.1289,5.68711,0.74617,0.12474,5.98169
5s_no,XGBoost,TomekLinks,0.69215,0.14452,4.78934,0.70951,0.20894,3.39581,0.75469,0.08351,9.03722,0.74079,0.09803,7.55684,0.75091,0.0895,8.39031
5s_no,Random Forest,SMOTE,0.69209,0.20125,3.43896,0.72683,0.25359,2.86617,0.74863,0.15063,4.96995,0.73676,0.15857,4.64634,0.74541,0.15453,4.82364
3s_0.5,Random Forest,SMOTETomek,0.69072,0.17818,3.87647,0.69463,0.215,3.23081,0.75395,0.12633,5.96799,0.74068,0.13587,5.45141,0.74723,0.14464,5.1663
2s_0.8,XGBoost,Baseline (none),0.69066,0.11691,5.9077,0.67146,0.15932,4.21443,0.7592,0.07252,10.46835,0.74202,0.08085,9.1782,0.75524,0.07541,10.01521
2s_0.5,Random Forest,SMOTE,0.6906,0.12187,5.6665,0.66894,0.17698,3.7797,0.76543,0.08334,9.18433,0.74883,0.09056,8.26861,0.7598,0.09213,8.24737
1s_no,XGBoost,TomekLinks,0.68976,0.10316,6.68608,0.67523,0.14635,4.61383,0.75876,0.07611,9.9686,0.74383,0.08023,9.27097,0.75519,0.07977,9.4676
1s_0.5,XGBoost,SMOTETomek,0.68901,0.14008,4.91862,0.6786,0.19201,3.53425,0.76474,0.07725,9.89922,0.74646,0.09299,8.02755,0.75994,0.08422,9.02318
5s_0.8,Random Forest,Baseline (none),0.68871,0.10329,6.66764,0.66424,0.16499,4.02591,0.74464,0.07887,9.44112,0.73283,0.08124,9.02104,0.73926,0.08644,8.55273
1s_0.5,XGBoost,TomekLinks,0.68841,0.12213,5.63689,0.67702,0.17336,3.90536,0.76075,0.07048,10.79446,0.74381,0.08248,9.01823,0.75715,0.07454,10.15753
5s_0.5,Random Forest,Baseline (none),0.68781,0.13181,5.2181,0.66779,0.18499,3.60988,0.75958,0.09487,8.00676,0.74344,0.10086,7.37122,0.75536,0.10027,7.53304
2s_0.8,XGBoost,TomekLinks,0.6869,0.11144,6.16383,0.66736,0.16029,4.16335,0.756,0.06834,11.06191,0.73882,0.07611,9.70689,0.75191,0.07112,10.57302
3s_0.8,XGBoost,Baseline (none),0.68611,0.1517,4.52274,0.66776,0.20121,3.31872,0.76173,0.07849,9.70428,0.74051,0.09654,7.67042,0.75667,0.08336,9.0772
